type,market,code,date,year,pre5,day0,react2,gap,hold1,hold3,hold5,hold10,hold20
주식소각결정,유가증권시장,060980,2024-11-11,2024,-0.028757496909949144,0.021470774526670643,0.02711137877873693,0.0014309656008619637,0.004937609557771044,0.004131306435172205,-0.004092071248938074,-0.026201096561125365,0.07191659104965695
주식소각결정,유가증권시장,453340,2024-11-07,2024,0.05055887501224617,0.046325629511445705,0.062298104830963645,-0.0025811576239875306,0.017835574558514335,0.03821501254120933,0.05284558861397826,0.05342085514457146,0.1451497468663317
주식소각결정,유가증권시장,020000,2024-11-07,2024,-0.01339103880262597,-0.0010951012880244708,-0.0042804486677472465,-0.0025811576239875306,-0.0005471023293171252,-0.016856419463212223,-0.02436035263835467,-0.021416535414468578,0.061858968343594445
주식소각결정,유가증권시장,069960,2024-11-07,2024,-0.011339657238724803,-0.03184557939995524,-0.03483407776497383,0.006427851385021386,-0.009303085392645601,-0.025796496782799903,-0.020574914494024814,-0.011763092851876537,0.11538437335095814
주식소각결정,코스닥시장,122990,2024-11-05,2024,-0.00870283676951124,0.013735197426107102,0.03802166154221254,0.03210567074376169,-0.007546001406698165,-0.018494480040383864,-0.015354276797470236,-0.04218954741244643,-0.057067637994513365
주식소각결정,코스닥시장,136540,2024-11-04,2024,0.03908886803891107,0.007155508112677417,0.15268208517979226,0.1760166378162238,-0.02924988916462804,-0.019758795087982922,-0.011536409720877928,0.044148496958947764,-0.09315362728550791
주식소각결정,코스닥시장,443250,2024-10-31,2024,0.05992175732955402,0.08590105747687257,0.23927250243280698,0.03022165303632636,0.10930294640252496,0.24170174483377518,0.13052501922650075,0.15079869267951163,0.1793948612110678
주식소각결정,코스닥시장,013030,2024-10-31,2024,-0.021419191840505385,0.04651826699095537,0.042863047413057714,-0.0036745054992119285,0.001059895116668189,-0.03713727397174568,0.054516369110953956,0.09466198693184891,0.17206982463888826
주식소각결정,유가증권시장,086790,2024-10-29,2024,0.01755615249460004,-0.0068982048343660795,-0.04108803217596925,-0.016546658723718785,-0.018792653390423842,-0.03383036441750217,-0.054528029476138336,-0.019482312597616833,-0.02096854319580704
주식소각결정,코스닥시장,071850,2024-10-28,2024,-0.03556241411263303,-0.012686972368042676,0.02785194022596986,0.04685086283196473,-0.006068061559289228,0.0045646148434838225,-0.006914146768399498,-0.06318458362401007,-0.0357316189103043
주식소각결정,유가증권시장,042700,2024-10-25,2024,-0.13654657720069124,0.00033087866005408924,-0.032221511141140496,-0.00022086638241604987,-0.03264419993087167,-0.022413583976093047,-0.04956746792802428,-0.05268618199364687,-0.13609556381981028
주식소각결정,유가증권시장,000270,2024-10-25,2024,-0.026082658185105644,0.024206178613674675,0.045878457715215676,0.010566620133225825,0.010083427946463861,-0.002807217226710061,0.007960691603003021,-0.023347017056600732,0.054900370207990185
주식소각결정,유가증권시장,055550,2024-10-25,2024,0.0067614653798131925,0.03827229110727702,-0.006509133985130892,-0.010565693968622968,-0.03351706142022273,-0.05759880874683331,-0.057676173029098034,-0.026329327715200506,-0.018473024754805195
주식소각결정,유가증권시장,105560,2024-10-24,2024,0.002229178382590135,-0.006671526382333148,0.08027983625842836,0.0284957096047141,0.05798511389786595,-0.009023683793059812,-0.06029081185179126,-0.02698882842863529,0.035306407629031006
