date,equity,n,cash
2025-04-24,1000000.0,0,1000000.0
2025-04-25,1000000.0,0,1000000.0
2025-04-28,1000000.0,0,1000000.0
2025-04-29,1000000.0,0,1000000.0
2025-04-30,1000000.0,0,1000000.0
2025-05-02,996467.0543638001,10,99614.05436380005
2025-05-07,997363.0543638001,10,99614.05436380005
2025-05-08,1015014.0543638001,10,99614.05436380005
2025-05-09,1019879.0543638001,10,99614.05436380005
2025-05-12,1030951.0543638001,10,99614.05436380005
2025-05-13,1043729.0543638001,10,99614.05436380005
2025-05-14,1043625.0543638001,10,99614.05436380005
2025-05-15,1037378.0543638001,10,99614.05436380005
2025-05-16,1038148.0543638001,10,99614.05436380005
2025-05-19,1026302.0543638001,10,99614.05436380005
2025-05-20,1033610.0543638001,10,99614.05436380005
2025-05-21,1038452.0543638001,10,99614.05436380005
2025-05-22,1030374.0543638001,10,99614.05436380005
2025-05-23,1027073.0543638001,10,99614.05436380005
2025-05-26,1044815.0543638001,10,99614.05436380005
2025-05-27,1040487.0543638001,10,99614.05436380005
2025-05-28,1039779.0543638001,10,99614.05436380005
2025-05-29,1084797.0543638,10,99614.05436380005
2025-05-30,1083023.0543638,10,99614.05436380005
2025-06-02,1074538.0776007997,10,159165.07760079982
2025-06-04,1091081.0776007997,10,159165.07760079982
2025-06-05,1105059.0776007997,10,159165.07760079982
2025-06-09,1119905.0776007997,10,159165.07760079982
2025-06-10,1123673.0776007997,10,159165.07760079982
2025-06-11,1130217.0776007997,10,159165.07760079982
2025-06-12,1130196.0776007997,10,159165.07760079982
2025-06-13,1106840.0776007997,10,159165.07760079982
2025-06-16,1148740.0776007997,10,159165.07760079982
2025-06-17,1135083.0776007997,10,159165.07760079982
2025-06-18,1132817.0776007997,10,159165.07760079982
2025-06-19,1132441.0776007997,10,159165.07760079982
2025-06-20,1145298.0776007997,10,159165.07760079982
2025-06-23,1137864.0776007997,10,159165.07760079982
2025-06-24,1164649.0776007997,10,159165.07760079982
2025-06-25,1168446.0776007997,10,159165.07760079982
2025-06-26,1158008.0776007997,10,159165.07760079982
2025-06-27,1149603.0776007997,10,159165.07760079982
2025-06-30,1162046.0776007997,10,159165.07760079982
2025-07-01,1176205.4627891998,10,125435.46278919982
2025-07-02,1175305.4627891998,10,125435.46278919982
2025-07-03,1193560.4627891998,10,125435.46278919982
2025-07-04,1184005.4627891998,10,125435.46278919982
2025-07-07,1169850.4627891998,10,125435.46278919982
2025-07-08,1184570.4627891998,10,125435.46278919982
2025-07-09,1205100.4627891998,10,125435.46278919982
2025-07-10,1216055.4627891998,10,125435.46278919982
2025-07-11,1215165.4627891998,10,125435.46278919982
2025-07-14,1221960.4627891998,10,125435.46278919982
2025-07-15,1225040.4627891998,10,125435.46278919982
2025-07-16,1216715.4627891998,10,125435.46278919982
2025-07-17,1212280.4627891998,10,125435.46278919982
2025-07-18,1209440.4627891998,10,125435.46278919982
2025-07-21,1210665.4627891998,10,125435.46278919982
2025-07-22,1198820.4627891998,10,125435.46278919982
2025-07-23,1207925.4627891998,10,125435.46278919982
2025-07-24,1207320.4627891998,10,125435.46278919982
2025-07-25,1199665.4627891998,10,125435.46278919982
2025-07-28,1195735.4627891998,10,125435.46278919982
2025-07-29,1199095.4627891998,10,125435.46278919982
2025-07-30,1208365.4627891998,10,125435.46278919982
2025-07-31,1200935.4627891998,10,125435.46278919982
2025-08-01,1169078.2536676996,10,77735.25366769976
2025-08-04,1181071.2536676996,10,77735.25366769976
2025-08-05,1189883.2536676996,10,77735.25366769976
2025-08-06,1201411.2536676996,10,77735.25366769976
2025-08-07,1193069.2536676996,10,77735.25366769976
2025-08-08,1193985.2536676996,10,77735.25366769976
2025-08-11,1188161.2536676996,10,77735.25366769976
2025-08-12,1186616.2536676996,10,77735.25366769976
2025-08-13,1190483.2536676996,10,77735.25366769976
2025-08-14,1178190.2536676996,10,77735.25366769976
2025-08-18,1177342.2536676996,10,77735.25366769976
2025-08-19,1178466.2536676996,10,77735.25366769976
2025-08-20,1173783.2536676996,10,77735.25366769976
2025-08-21,1172830.2536676996,10,77735.25366769976
2025-08-22,1170232.2536676996,10,77735.25366769976
2025-08-25,1174047.2536676996,10,77735.25366769976
2025-08-26,1171903.2536676996,10,77735.25366769976
2025-08-27,1174518.2536676996,10,77735.25366769976
2025-08-28,1177723.2536676996,10,77735.25366769976
2025-08-29,1172229.2536676996,10,77735.25366769976
2025-09-01,1148391.2530893,10,56531.25308929979
2025-09-02,1144881.2530893,10,56531.25308929979
2025-09-03,1160281.2530893,10,56531.25308929979
2025-09-04,1165261.2530893,10,56531.25308929979
2025-09-05,1181271.2530893,10,56531.25308929979
2025-09-08,1181291.2530893,10,56531.25308929979
2025-09-09,1191771.2530893,10,56531.25308929979
2025-09-10,1194101.2530893,10,56531.25308929979
2025-09-11,1201621.2530893,10,56531.25308929979
2025-09-12,1204051.2530893,10,56531.25308929979
2025-09-15,1199051.2530893,10,56531.25308929979
2025-09-16,1193221.2530893,10,56531.25308929979
2025-09-17,1189671.2530893,10,56531.25308929979
2025-09-18,1204081.2530893,10,56531.25308929979
2025-09-19,1189491.2530893,10,56531.25308929979
2025-09-22,1185461.2530893,10,56531.25308929979
2025-09-23,1177401.2530893,10,56531.25308929979
2025-09-24,1170811.2530893,10,56531.25308929979
2025-09-25,1159001.2530893,10,56531.25308929979
2025-09-26,1144571.2530893,10,56531.25308929979
2025-09-29,1155441.2530893,10,56531.25308929979
2025-09-30,1152091.2530893,10,56531.25308929979
2025-10-01,1148710.5046542997,10,111580.50465429964
