,BASE,ADD_BUFFETT,ADD_FSCORE,BUFFETT_for_EP,BUFFETT_for_SP,BUFFETT_for_ROE,BUFFETT_for_OPG,BUFFETT_for_OPG_Q,BUFFETT_for_VOL60,BUFFETT_for_TURN20,FSCORE_for_EP,FSCORE_for_SP,FSCORE_for_ROE,FSCORE_for_OPG,FSCORE_for_OPG_Q,FSCORE_for_VOL60,FSCORE_for_TURN20
2023-08-31,0.35383385199680245,0.34604291964533296,0.3368654350706157,0.35396203286041905,0.32813009565236895,0.3715114061980897,0.3618680498469636,0.3466962181451603,0.29555959106579305,0.2884275801401864,0.33575785113418477,0.32288133622538967,0.3526298107876358,0.34772421082976834,0.33478536781280804,0.2855006645246447,0.2796670443042836
2023-09-27,0.2682526773974862,0.2606742769181053,0.24728244032206745,0.26920432344532397,0.22719907216876187,0.3000452674036932,0.36681474918236473,0.25871925935847534,0.20702048075638432,0.21950670367007064,0.2476895469862046,0.2112588516539605,0.2806083331429227,0.3786432073588572,0.24447277006076046,0.19210260977594612,0.2059192614647293
2023-10-31,-0.02632778907674779,-0.021753825833119918,-0.022039324589488832,-0.033333699836472684,-0.00930156031616821,-0.04452420150892321,0.005178716054477689,0.027895581919863525,-0.025726780449403366,-0.02715840047211636,-0.028863164780435102,-0.011778007762448205,-0.04091587623363259,-0.027977896295392463,0.025581018767587314,-0.02667980927261058,-0.0298549391035439
2023-11-30,0.10600867510588777,0.11446316748796884,0.09970213988757777,0.111852329443908,0.11550393201832561,0.11730980126467194,0.12559052450686536,0.12724938938951272,0.10244280921898898,0.09191146613934681,0.09134986207659322,0.10102261818991559,0.095139345124295,0.11962531486211483,0.11366071005385332,0.08480173771489906,0.07646110868806834
2023-12-28,0.14472694969461053,0.1170386178152093,0.1378568655125032,0.11487887027764448,0.09897249258151271,0.1388113230291026,0.22898771615457802,0.10861836150800004,0.08294157770945033,0.10681318202663188,0.13669744806617076,0.11396374832367565,0.1598920935983414,0.2391907697369296,0.1289597118795901,0.1052900560890708,0.1278064697825269
2024-01-31,0.032386207976123856,0.0346701251486212,0.026607193597893444,0.036217849353922464,0.037779859138866105,0.031932786767516735,0.05583057064920299,0.03471155268807059,0.052111713237498934,0.025864553743097728,0.029008410882613155,0.040225254707717185,0.026307325522687598,0.027844692575140884,0.028201586859621774,0.040260277086250684,0.011904033483722671
2024-02-29,0.03721751143054182,0.040476441001511126,0.03847048294376392,0.06125924521121324,0.07890434659330613,0.022148118678906193,0.008947605147431302,0.0644138188996216,0.023578169702882346,0.021238921450651156,0.05683086033467357,0.07982208798188081,0.020731992007227282,0.03375140807567191,0.06398371983045988,0.020563168763058613,0.018942793052489536
2024-03-29,0.31624204156824554,0.31314270239013176,0.3100782903445761,0.31272584257362096,0.29159161013920126,0.3183845947222738,0.31785946859469927,0.3075037527076231,0.2996661069536185,0.29718732318486785,0.30577138225337286,0.28585967984521043,0.3119399674080115,0.3187598167894071,0.30387579020649236,0.2933623834598549,0.2920909387657425
2024-04-30,0.10355034451666217,0.09094816567011992,0.11467340955291834,0.10626896607264016,0.09097766013272912,0.09933271872655748,0.07521765561856687,0.07284525776707852,0.0792822644068247,0.09407505801582572,0.13000049398710967,0.11056430046187213,0.1266664177704358,0.10003544564076827,0.10134392599757927,0.10586845846229806,0.11809594817774091
2024-05-31,0.2596864182888631,0.24105448601760307,0.2539651951169016,0.24486144379570923,0.2517387318065456,0.2340494790143742,0.2715464168532398,0.22164297778534028,0.2423247397992339,0.23476906862856367,0.25380912853914583,0.2635662696799493,0.24393986226192124,0.27929837347946695,0.2344138501509192,0.25348913202836987,0.24333844619237985
2024-06-28,0.252518392840983,0.22123034905180833,0.2498010033156717,0.2227840683648638,0.20532454868762332,0.25550866173236486,0.17251531957522714,0.24041651520457366,0.16793990355695443,0.1757225075604306,0.2535966670342708,0.2307136821378481,0.2852998869018298,0.23385845208263067,0.2695291279519963,0.1986727754883505,0.2077756501980028
2024-07-31,0.18930566975051472,0.184340813529991,0.1766527887474416,0.19611555661834648,0.18613641770998485,0.20579776991627247,0.17541649785597235,0.19243389840638134,0.14789298022655692,0.14610601552847574,0.1867908366581657,0.18357775656222616,0.1965101048780671,0.17830732472237623,0.18212517133931364,0.13656749929220036,0.1332631942810382
2024-08-30,0.09700838667608483,0.08631899096347072,0.0979621268717694,0.09380906135415265,0.08739813877474921,0.08626559916568678,0.14081217921149236,0.10203340537427655,0.07758699233226875,0.05490648169733205,0.1064570843049278,0.10046875994653057,0.09922023231284487,0.14508900649907566,0.11146051957924441,0.08933563997029605,0.06636304378175567
